NAME,AGE,POSITION,APPOINTED
Sebastien Bazin,59,"Chairman Of The Board, Chief Executive Officer, Member Of The Executive Committee",2013
Jean-Jacques Morin,60,"Deputy Chief Executive Officer In Charge Of Finance, Strategy, Legal, Communications And Procurement, Member Of The Executive Committee",2018
Chris J. Cahill,--,"Deputy Chief Executive Officer, Chief Executive Officer - Hotel Operations, Member Of The Executive Committee",2018
Iris Knobloch,58,"Vice Chairman Of The Board, Senior Independent Director",2016
Floor Bleeker,--,"Chief Technology Officer, Member Of The Executive Committee",2020
Stephen Alden,--,"Chief Executive Officer - Raffles And Orient Express, Member Of The Executive Board",2021
Maud Bailly,42,"Chief Executive Officer - Southern Europe, Member Of The Executive Committee",2020
Gaurav Bhushan,--,"Chief Executive Officer - Lifestyle, Member Of The Executive Committee",2020
Fabrice Carre,--,"Chief Strategy Officer, Member Of The Executive Committee",2020
Steven D. Daines,--,"Chief Talent & Culture Officer, Member Of The Executive Committee",2019
Thomas Dubaere,--,"Chief Executive Officer - Latin America, Member Of The Executive Committee",2020
Heather McCrory,--,"Chief Executive Officer - North & Central America, Member Of The Executive Committee",2019
Simon McGrath,--,"Chief Executive Officer - Pacific, Member Of The Executive Committee",2020
Patrick Mendes,--,"Group Chief Commercial Officer In Charge Of Sales, Marketing, Distribution And Loyalty (SMDL), Member Of The Executive Committee",2020
Duncan ORourke,--,"Chief Executive Officer - Northern Europe, Member Of The Executive Committee",2020
Brune Poirson,38,"Chief Sustainability Officer, Member Of The Executive Committee",2021
Agnes Roquefort,--,"Chief Development Officer, Member Of The Executive Committee",2020
Gary Rosen,--,"Chief Executive Officer - Greater China, Member Of The Executive Committee",2020
Garth Simmons,--,"Chief Executive Officer - South East Asia, Member Of The Executive Committee",2020
Mark Willis,--,"Chief Executive Officer Of Middle East & Africa, Member Of The Executive Committee",2019
Nawaf Bin Jassim Bin Jabor Al-Thani,49,Non-Executive Director,2017
Iliane Dumas,50,Non-Executive Director - Representing Employees,2014
Aziz Aluthman Fakhroo,43,Non-Executive Director,2016
Chantale Hoogstoel,63,Non-Executive Director - Representing Employees,2018
Sarmad Zok,52,Non-Executive Director,2016
Sophie A. Gasperment,56,Non-Executive Independent Director,2010
Qionger Jiang,44,Non-Executive Independent Director,2016
Bruno Pavlovsky,58,Non-Executive Independent Director,2020
Nicolas Sarkozy,66,Non-Executive Independent Director,2017
Isabelle Simon,--,Non-Executive Independent Director,2016
